ID,lineage,year,place,Lat,Long,species,date,country
KR906748,A1.2,2010,Chake Chake,-5.260469,39.815016,Domestic dog,15/12/2010,Tanzania
KR906752,A1.2,2011,Kati,-6.172821241,39.36118087,Domestic dog,11/02/2011,Tanzania
KR906746,A1.2.1,2010,Ilala,-6.886774422,39.16627395,Domestic dog,02/11/2010,Tanzania
KR906747,A1.2.1,2010,Mufindi,-8.558023865,35.27626447,Domestic dog,26/11/2010,Tanzania
KR906751,A1.2.1,2011,Nachingwea,-10.39948846,38.3677193,Unknown,07/02/2011,Tanzania
KR906757,A1.2.1,2010,Nachingwea,-10.39948846,38.3677193,Unknown,03/10/2010,Tanzania
LN001,A1.2.1,2021,Ruangwa,-10.04001,38.555999,Domestic dog,10/03/2021,Tanzania
LN002,A1.2.1,2021,Mtama,-10.300802,39.364712,Fox,16/11/2021,Tanzania
LN003,A1.2.1,2021,Mtama,-10.300802,39.364712,Fox,05/11/2021,Tanzania
LN006,A1.2.1,2021,Mtama,-10.300802,39.364712,Domestic dog,20/07/2021,Tanzania
MAS1016,A1.2.1,2022,Masasi,-10.801285,38.895829,Jackal,16/03/2022,Tanzania
MT004,A1.2.1,2022,Tandahimba,-10.738551,39.569184,Jackal,10/03/2022,Tanzania
MT005,A1.2.1,2022,Tandahimba,-10.738551,39.569184,Jackal,10/03/2022,Tanzania
MT006,A1.2.1,2018,Rural,-10.311224,40.175981,Domestic dog,22/06/2018,Tanzania
NAC1014,A1.2.1,2022,Nachingwea,-10.33562,38.692707,Domestic Dog,14/08/2022,Tanzania
NAC1015,A1.2.1,2022,Nachingwea,-10.33562,36.559167,Domestic Dog,14/08/2022,Tanzania
NAC1017,A1.2.1,2022,Nachingwea,-10.309751,38.776601,Jackal,24/03/2022,Tanzania
NAC1018,A1.2.1,2022,Nachingwea,-10.212662,38.760241,Jackal,15/04/2022,Tanzania
NAC1025,A1.2.1,2022,Nachingwea,-10.413398,38.777494,Domestic dog,14/08/2022,Tanzania
TAN1019,A1.2.1,2022,Tandahimba,-10.789479,39.888254,Jackal,11/04/2022,Tanzania
2011100075,A1.2.2,2018,Makueni,-1.799008071,37.59439993,Bovine,13/07/2018,Kenya
02196160414A,A1.2.2,2019,Makueni,-1.799008071,37.59439993,Domestic dog,07/08/2019,Kenya
KR534219,A1.2.2,2007,Serengeti,-1.813945552,34.67066401,Domestic dog,03/11/2007,Tanzania
KR534228,A1.2.2,2010,Serengeti,-1.668603355,34.67803089,Domestic dog,13/05/2004,Tanzania
KR534231,A1.2.2,2010,Serengeti,-1.785062,34.630123,Domestic dog,08/11/2010,Tanzania
KR534234,A1.2.2,2011,Serengeti,-1.798939838,34.64406566,Livestock: Cow,16/01/2011,Tanzania
KR534238,A1.2.2,2011,Serengeti,-2.007093089,34.49467062,Domestic dog,17/02/2011,Tanzania
KR534251,A1.2.2,2011,Serengeti,-1.771424,34.422852,Domestic dog,19/09/2011,Tanzania
KR534252,A1.2.2,2011,Serengeti,-1.768539072,34.42263416,Domestic dog,23/09/2011,Tanzania
KR906734,A1.2.2,2008,Serengeti,-1.783307945,34.76543112,Domestic dog,12/07/2008,Tanzania
KR906739,A1.2.2,2004,Ngorongoro,-1.865997941,35.4901408,Livestock: Cow,18/04/2004,Tanzania
KR906743,A1.2.2,2010,Temeke,-6.88187593,39.38749281,Domestic dog,03/05/2010,Tanzania
KR906744,A1.2.2,2010,Mufindi,-8.558023865,35.27626447,Domestic dog,27/05/2010,Tanzania
KR906759,A1.2.2,2010,Morogoro,-6.955078258,37.81226603,Domestic dog,16/04/2010,Tanzania
KR906774,A1.2.2,2011,Serengeti,-1.782610874,34.37710982,Domestic dog,22/09/2011,Tanzania
KR906779,A1.2.2,2012,Serengeti,-1.77009011,34.7811902,Domestic dog,19/02/2012,Tanzania
KR906785,A1.2.2,2012,Serengeti,-1.828459,34.632381,Domestic dog,11/06/2012,Tanzania
KR906790,A1.2.2,2012,Serengeti,-1.769343969,34.41095005,Domestic dog,27/07/2012,Tanzania
KR906791,A1.2.2,2012,Serengeti,-1.722289,34.418078,Domestic dog,23/01/2012,Tanzania
KX148206,A1.2.2,1996,Serengeti,-1.816413171,34.32556688,Domestic dog,01/01/1996,Tanzania
KX148207,A1.2.2,2014,Serengeti,-1.816413171,34.32556688,Homo sapiens,01/01/2014,Tanzania
KY210223,A1.2.2,2007,Serengeti,-1.738969911,34.6053498,Domestic dog,22/06/2007,Tanzania
