sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
EU530698	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Juliaca, Puno	1998	1998	1998	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN7314-98
EU530699	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Juliaca, Puno	1998	1998	1998	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN7456-98
EU530700	AL_Cosmopolitan	Cosmopolitan	PER	Peru	J.D.Choquehuanca, Puno	1998	1998	1998	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN8153-98
EU530701	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Juliaca, Puno	1998	1998	1998	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN8801-98
EU530702	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Juli, Puno	1999	1999	1999	264	05-Apr-2008	26-Jul-2016	Sus scrofa	-	PERPUN9807-99
EU530703	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Zepita, Puno	1999	1999	1999	264	05-Apr-2008	26-Jul-2016	Sus scrofa	-	PERPUN10104-99
EU530704	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Kelluyo, Puno	1999	1999	1999	264	05-Apr-2008	26-Jul-2016	Homo sapiens	-	PERPUN221-99
EU530705	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Yunguyo, Puno	1999	1999	1999	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN426-99
EU530706	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Arapa, Puno	1999	1999	1999	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN709-99
EU530707	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Poccona, Puno	1999	1999	1999	264	05-Apr-2008	26-Jul-2016	Homo sapiens	-	PERPUN1449-99
EU530708	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Asillo, Puno	2000	2000	2000	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN4384-00
EU530709	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Azangaro, Puno	2000	2000	2000	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN4387-00
EU530710	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Orurillo, Puno	2001	2001	2001	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN7012-01
EU530711	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Yunguyo, Puno	2001	2001	2001	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN7015-01
EU530712	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Puno, Puno	2001	2001	2001	264	05-Apr-2008	26-Jul-2016	Bos taurus	-	PERPUN22144-01
EU530713	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Pomata, Puno	2001	2001	2001	264	05-Apr-2008	26-Jul-2016	Bos taurus	-	PERPUN40781-01
